name,review
Digital Marketing Morsel,"This marketing morsel is a fantastic way to get the kick I need in the morning. Lindsey is energetic and her brief gives real tips and information that I can implement right away. This is the kind of business building we need. Less fluff, more REAL stuff! Highly recommend. 10/10!"
Stock Trader,"It can’t understand stock names if it’s not one of big companies. Can’t combine requests like asking for stock price and technical analysis. Every time it’s opened, it gives the same lengthy intro and directions - no way to skip this that I can see"
Mike Kruse - Henderson Real Estate,
CNN Business Flash Briefing,
Ethereum Price,Does the job.
customer loyalty,
The Pitch with Amy Summers,I honestly channel my inner Amy with every pitch. Whether I’m pitching clients or pitching my own original ideas. Amy is a wealth of knowledge and her success speaks for itself. It’s so cool to listen to these little “Amy Chats” for inspiration and tips. Get on the Amy train and watch your pitch game go thru the roof!
Insurance Helper,Helped me figure out stuff on life insurance and I like how it down sold me to just what I needed.
Intelligent Money Minute,"I'm impressed. Content is more advanced, technical than expected. Included into my Flash Briefing."
Mastermind - AI Assistant for Software Dev Teams,Very good does exactly what the echo was made for
Digital Marketing By Michael Guberti,
Dayton Real Estate,A great tool to use when moving to a new area. Allows you to find local hot spots.
PayPal,Super easy to quickly send & request money to friends & family. It’s the future of money!
Run With Tobe,
Your Future,
Mastermind - AI Assistant for Software Dev Teams,Like all features
Front Row Entrepreneur,"What I liked is the feeling of having the pulse of Social Media, across all platforms, so I can make informed decisions regarding my business."
NPR Business Story of the Day,"This flash briefing was great, but now I'm getting the same story every day."
Discover,Loved the ease of use!
Bank Helper,Fast and Easy. Genius idea. Don't know why it wasn't thought of Sooner.
Mastermind - AI Assistant for Software Dev Teams,Awesome
Douglas Automotive,Scheduling my oil change has never been easier!
Capital One,This is one of the best skills on Amazon Echo.  Love it. Thank you Capital One for being on the leading edge of technology.
Daytona Real Estate,Easy way to search the most up to date properties for sale in Daytona Beach.  Also you can easily find the value of your home.
Cincinnati Real Estate,Makes searching for a home in a specific market area a breeze!
30-Second Blog and Business Tip w/ Pete McPherson,"I've been a fan of his podcast for a long time, and LOVE LOVE LOVE this new Alexa format. His content is so good :)"
The MFCEO Kill Shots,l absolutely love his perspective and belive it is an important part of my morning.  Highly recommended for anyone serious about an entrepreneurship way of thinking.
Front Row Entrepreneur,"I love this flash briefing and I look forward to it every morning. I have about 20 briefing‘s that play on while I get ready in the morning and prep for my day. I have curated them specifically for the most positive outlook for the day. Not only is the content fantastic and dense but I enjoy listening to Jen’s voice. Some of her content has also changed the course of my day and what I had planned to focus on.

I highly recommend adding this to your list Of flash briefing‘s."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Fidelity Investments,Ask phrase is too long. The prompt for another quote is misleading.
Make Money Writing Tips,Alexa references a website. Be sure to have a pen and paper handy.
Mastermind - AI Assistant for Software Dev Teams,Very fun...to be a lord
Mastermind - AI Assistant for Software Dev Teams,Hello: I have a brain injury and love that this keeps me on track.
Market Sentiment Survey,
iPay QuickPay℠,Great skill that is easy to use and convenient. I’m able to pay my bills quickly and securely and even check on bills I’ve already paid completely hands free.
California Association of Realtors,While I’m working I have Alexa give me the market news and love how much information I receive and how easy it is to get.
Mastermind - AI Assistant for Software Dev Teams,Works quite well.  Bu thas the potential to be something quite phenomenal as it develops further
MyFortress,The only features are verbal commands. Cannot link the central station to the Alexa app. Very time consuming and pointless to use arm/ disarm the system thru Alexa. Use the MyFortress app instead.
Stock Price,"“Sorry, I’m having trouble accessing your Stock Price skill right now.”"
Ally,"I just got started with the scale, thanking “wow this will be an easy way to transfer funds between my savings and checking accounts!”."
Cincinnati Real Estate,Alex's voice search feature makes looking for a new home easy when you have your hands full.
The Pitch with Amy Summers,quick and Insightful! love thats Amy’s knowledge is put in an away that is easy to use. I really enjoy being aware and working on one thing every day to improve my overall skills.
Cheddar,Lots of long hitching when I watch it.
Mastermind - AI Assistant for Software Dev Teams,Great app with alexa
Mastermind - AI Assistant for Software Dev Teams,Great App!!
Patience & Hustle Daily,"I just enabled this skill, and from the outset I find it extremely useful for motivation and mindset.  I plan to use it every day!"
Mastermind - AI Assistant for Software Dev Teams,Love that the app can read my notifications and text/call from my phone using my voice and much more.
Veteran Transition Tips,"What better way to learn about transition out of the military than from someone who has been there, done that, and probably still has a bunch of the T-shirts? Great way to get tips to have the post-military life that all service members desire and deserve."
Capital One,Works perfect.
Account Access,Alexa devices would not give me my balance keep giving me the  Definition for balance
Numerica,It’s awesome to be able to bank hands free while I wash the dishes.
Mastermind - AI Assistant for Software Dev Teams,"I really enjoy the app, I was on the waitlist for a while back in '17. When I first got the app I loved it, then no idea why but for months it wouldn't work. Tried to use skill again recently and is working as well as it did before. This app makes Alexa so much more useful for me, being able to get and send texts hands free. It's a little weird sometimes about understanding some names, some texts end up reading like auto correct fails, and only works in almost complete silence, but I still like it"
Thirty Second Money Tip with Nick True,Entertaining and good tips that make sense and are easy to apply
Capital One,I enjoy how easy it's to use
Prudential Retirement,"I use this skill and it’s great.
Great way to get the info I need fast."
Mastermind - AI Assistant for Software Dev Teams,It's easy to set up and use.
Capital One,"If this app had a better interface and allowed you to make multiple payments (not just when your statement is due), I would give the app a 5/5. The app won’t let you make a second Payment in a month even if you still have an account balance."
Mastermind - AI Assistant for Software Dev Teams,Find my phone app is great
Ten Things in Tech,The best skill for techies. short and sweet and well spoken announcer
Mastermind - AI Assistant for Software Dev Teams,I’ve had the beta version since first announced. Great App.
Mastermind - AI Assistant for Software Dev Teams,Nice
PayPal,tried to link with my bank and it kept looping through the process
Enrichment Voice Teller,Love that my credit union had this available.  So easy to use and very convenient!
Charles Schwab,"Cannot get McDonald’s into the skill, it has issues with s an c.  Xom it picked xoma for some reason. It did get most of my stocks right but has a lot of issues, it needs work."
Ten Things in Tech,good update on tech news...matches traditional e-sources
Donnie Keller - Fort Worth Real Estate,"He has lots of patience, and knowledgeable about everything. He gives the best advice on how and what to do when it comes to houses."
Mike Hrezo - Valencia Real Estate,"We were referred to Mike Hrezo by a realtor in another community. It proved to be an excellent referral.  Not only is he extremely skilled, knowledgeable and personable, but he truly cares about delivering all-around service excellence.
Because of him, the transaction was smooth, speedy and effortless.

In fact, we were so impressed that we sought Mike's assistance to complete another real estate transaction several years later. Though we were expecting great things, he still managed to wow us.  You may be sure that, should we ever have the opportunity to do another real estate transaction in the Santa Clarita area, Mike will be our first and only call."
A Moment for Success,Nice idea but nothing revolutionary. Deep breaths and fresh outdoor air was all I got and it started repeating. Was expecting things I didn’t already know.
Cloud.in Flash briefings,
The Motley Fool,"Ridiculously bad. Voice recognition is accurate, but app can't match the accurate company name with the company. Needs a manual entry option or needs to work with ticker symbols. Until then, it's a frustrating waste of time."
Bolivar Today,no funciona
Mastermind - AI Assistant for Software Dev Teams,This app works great.  Finally an app that works well with Alexa.
TradeIt,Tried 3 quotes didn't support any of them. So I disabled.
Thirty Second Money Tip with Nick True,"Great program, and truly down to earth.
*** you asked for ideas so; Making people aware of the fact that plastic is REAL money, and you have to pay it back at a premium dependant on the interest they charge. That TV that you bought for $500 because it was on sale will cost you $700 if you make minimum payments. Regular price for the same TV is $600."
Run To Your Leadership Challenges!,"Paul has some fantastic tools to apply in a practical way. I’m loving this briefing because it keeps me focused on being a better leader for the people in my life. Thanks, Paul!"
My Home Value,This app is worthless. Can't recognize my address. Is it me or does Alexa have an attitude?
Princeton Partners Marketing Insights,I like that it is weekly and provides a short insight into what's happening in Marketing today.  Very relevant.
Thirty Second Money Tip with Nick True,"The information is clear and helpful. As with most things, its easy to begin managing your money with the best plan/intentions, only to easily get bogged down or distracted. Nick's info helps you stay on track, remember what's important, and what the long term goal is so you don't get overwhelmed in day to day. Worth subscribing!"
Mastermind - AI Assistant for Software Dev Teams,without the companion app the skill is pointless
Amex,the convenience of this skill has me using the card for more purchases. fast and hands free for any info or to pay the bill. very cool
User10,
Cleveland Real Estate,What a great tool
Mastermind - AI Assistant for Software Dev Teams,This makes life so much easier.  I loose my phone all the time so its great that only have to ask Alexa to open Mastermind
YNAB,"I love the fact that I can find the balance in any category immediately. My son uses it to find out how much is in his allowance category, which eliminates arguments."
Mastermind - AI Assistant for Software Dev Teams,I was wowed by the app in use with Amazon's echo dot. The only thing that disappointed me was that I couldn't read my emails thru your app in use with Alexa. But that's nitpicking really. It's great.
Mastermind - AI Assistant for Software Dev Teams,Maybe the best Alexa skill yet!
Cryptocurrency Flash Briefing,
Online Business Publicity Tips,
Make Me Smart,When playing in this scheme  some features will not work. Volume control will now lower.  Alexa continue to repeat her own  commands until I had yell stop.
The Motley Fool,"I can't find my watch list on the mobile app, after Alexa added a bunch of random stocks while trying to delete one it added. When asking for my watch list stock prices it just gives the biggest mover only then says check the app which I can't find on it"
Mastermind - AI Assistant for Software Dev Teams,"Hi
i cant get this to work anymore??"
The Voice of Social Sales,Does the research for us and delivers solid info daily! Thanks Chelsea
Fox Business,I enjoy the business news but Fox devotes more time in the podcast to commercials than it does to actual business. I have deleted it from my Alexa app
Second Guess Social,"Same ""news"" every day"
Charles Schwab,Clever app. Can’t wait to see v2
Bennie Chukwurah - 77407 Real Estate,She followed up the customer  for.maximum.satisfaction and value
Mastermind - AI Assistant for Software Dev Teams,No problems
Star One,
Fidelity Investments,"This is one area where Siri is superior. Siri has had this capability since inception on IOS. ""Siri how's the market doing today?"" Brings an interview intelligent response as does a request for individual tickets."
Capital One,"After I got an email to relink my account for new features, I keep getting an error that there is an issue with my capitol one account.
There is no issue and the bank cannot help. Amazon has opened a ticket but still not working. Next time check an update before you email people. If its not working soon I will be calling our local consumer reporter. Zero Stars does not work so had to give One Star."
Mastermind - AI Assistant for Software Dev Teams,since this is a beta version it does have some bugs. but the more you play with it the easier it is to use. Having it on my wife's and my phone seems to conflict. It can't differentiate the two phones.
Mastermind - AI Assistant for Software Dev Teams,"The application is a fantasic pair with Alexa. Puts access to everything I use on my phone on a voice activated hands free device. This includes reading incoming text messages, integrating with my work and private email services, as well multiple calendars. Love that I can ask who's calling when my phone is in one room and I'm in another and get messages via text just as easily. Huge time saver and no fumbling to unlock my phone or locate it to access it."
Prudential Retirement,"Downloaded the app only to discover it requires yet another access code, this one being 6 digits!  Not only that, you have to verbalize it every time so, Alexa and anyone around can hear it!  So much for convenience."
Mastermind - AI Assistant for Software Dev Teams,so far it works great.
Crypto Machine,The prices match my Coinbase/GDAX account perfectly!  Let’s make crypto!
Pete's Points - Business and Leadership Strategies,This is my favorite skill in my morning briefing. Pete presents concrete thought-provoking ideas that are strong in content and pleasurable to listen to.  This is one of my 3 must-have skills for everyday briefing.
Dayton Real Estate,Easy way to navigate the market!
Marketing School,"This is the #2 marketing flash briefing I listen to every day. Not only do they have top knowledge and insight to what's working right now.... I'm also learning what and how they make their shows. This helps me produce 2 shows per week on a super busy schedule.
BePoptastic.com"
The Pitch with Amy Summers,Amy is extremely knowledgeable in her field and gave me confidence in delivering a pitch! Would definitely reccomend to anyone working in media/communications.
Mastermind - AI Assistant for Software Dev Teams,Cast for fire tv please
Goods and Services Tax,
The Voice Computing Book,
5 Tip Friday,
Equities,Great way to get news and data on the markets including smaller companies.
Amex,"Hi
Why I cannot link my french Amex account you should put a better name in the skills like limited to this specific card..."
CTL,"I hope you enjoy this skill,
Please let me know if you have any feedback!
Please support the skill by rating it ***** :)
- Happy CTLing :D"
Stock Market Prediction,
Litecoin Price,Does what it says in the name.
Mining Stock Daily,
The Massive Agent Minute for Real Estate Agents,Just found this a few weeks ago and really enjoying it so far!
Make Me Smart,Gives just right amount of details.
The Pitch with Amy Summers,It is always great to think about ways that you can pitch yourself. Good tips to keep in mind.
My Home Value,"I love that I can check on my home value at my convenience and get an immediate response. Very cool! Also, I really like that it updates as the market temperature changes. Best home value skill I've seen."
Hank's Marketing and Business Tips,
Mastermind - AI Assistant for Software Dev Teams,"This is...... ("" THE BOMB"")
  So Cool !!  Just Awesome!
keep it up guys , excellent , I'm so excited, for you, and me!"
FuturesCom Investment Publications,Great weekly market run down. Anybody investing in the stock market or futures should check this out!
Marketing Tips,
Cheddar,To the point. Good content.
Coinpedia Price,
Pete's Points - Business and Leadership Strategies,"Pete's take on leadership is always on point and something that makes you feel validated you are doing it right, or convicts you to do better."
RoosterMoney,Would make it much more useful.
Sowing Seed Flash Briefing,Matt has incredible insight into living a meaningful life. His graciousness in sharing knowledge and lessons learned make this podcast a wealth of relevant information for anyone and everyone.
Make Me Smart,love it
Capital One,Fantastic skill! Awesome to see a bank on the leading edge of tech
Money Moment: Your Finance Flash Briefing,"Great little tidbit of information. Nothing too complex, yet useful, and it was presented in a way anyone can understand. Motivational content too."
Thirty Second Money Tip with Nick True,"I'm an artist working in my home. Nicks' tips help me focus on successful money management every day, and that has improved my business.  Thanks, Nick"
Equities,Easy to use. Love it
Daytona Real Estate,
Fox Business,Too much screeching sound!
Morgan Stanley,
"Business, Marketing & Technology For Entrepreneurs",I love the great ideas about Marketing & Technology News and Tips for all of us Entrepreneurs. So useful and timely. Awesome!
Create My Voice,
Long Island Real Estate,Alexa responsed to my request and I immediately received an email with the link to properties I’m interested in!
MAGA,worthless
WallStreetBets,"By keeping me up to date with Musk's THC levels, my $JNUG calls, and every minute of the pre-market, I can finally sort through the sea of garbage that the U.S. Bureau of Economic Analysis releases."
Business Freedom Daily Briefing,"Scott walked me through the mission, vision, and values of my business. Now I have the basic fundamentals written down in my business plan and all decisions are made through these filters. Thank you for introducing me to these core principles. Here is a picture of Scott leading other men. What an amazing man."
Columbus Real Estate,So simple and easy to navigate!
Motley Fool Stock Watch,Why is the volume so low on this report?  I can barely hear it when it comes on.
Impact Compliance Training,This is a very easy way to get compliance information.
Pete's Points - Business and Leadership Strategies,"Great tips, thanks Pete!"
Mastermind - AI Assistant for Software Dev Teams,"I use it to find my phone, send texts and it is especially useful to show off the capabilities of Alexa."
Branding Bites,"I never thought about the soul connection when it came to branding.I always thought product, performance and availability. Great Soul info. It's time to rethink my approach. I'll be listening tomorrow for my next tip."
CNBC,
Mastermind - AI Assistant for Software Dev Teams,Look
Review Removal Help Center by Objection Co,"This is a skill every social media strategist, every small business owner, anyone managing any business pages online needs to have. It's very easy to use. Definitely, check this out, test it, even if you don't have an immediate need, and keep it on hand for if/when a bad review comes in. This resource will absolutely curb the panic of having an unfair review."
Mastermind - AI Assistant for Software Dev Teams,Great so far.
Mastermind - AI Assistant for Software Dev Teams,It is a fantastic app and very helpful it is worth it
Mastermind - AI Assistant for Software Dev Teams,Nice program
Southwest Florida Real Estate,
Front Row Entrepreneur,I need to stay up to date on the ever changing social media scene for my biz. Jen’s short and to the point style fits perfectly into my time-strapped day. Thanks Jen - don’t know what I’d do without you!
Store Card,Says I have to link my account but wont let me enter a 4 digit pin number.
Store Card,"The card is definitely convenient and a great thing to have for online orders. But amazon can literally not help you with anything. If you ask them for any help you’ll automatically be given the response contact synchrony bank. So just be prepared that if you have any issues, want to make a payment or what have you, you cannot do it through amazon. They will not help you."
Run To Your Leadership Challenges!,This is a great podcast for team leaders in mid to high level leadership.
Amex,"This skill works as advertised and is very easy to use and set up. However, it is actually much faster to just use the AMEX app on your phone. The number of prompts from Alexa required to accomplish anything really slows the process down. You can only make a payment when a payment is actually due. i.e. you can't pay before the due date. Not a big deal, but it's not the way I manage my account. I'll probably stick with the AMEX iPhone App instead of this skill."
CryptoTracker,"Whenever you ask for a price in bitcoin of any ALT, the answer usually involves several decimal places, this app only supports 1 decimal place, so pretty useless.  Try it out.  Ask it, What is the price of Ripple in Bitcoin?"
Thirty Second Money Tip with Nick True,"Don't have time for a podcast? Sometimes you just need a quick piece of advice to supercharge your day. Nick's tips are relevant, motivating, and fun! I know where I'll be turning when I need a quick piece of advice!"
Mastermind - AI Assistant for Software Dev Teams,Just tried Mastermind most impressed especially as the phone doesn't have to be on the same wifi network after the initial setup has been done
Design Driven Flash Briefing,Plays the same episode every day. Really disappointing as I was excited to add this to my flash briefing. 😔
Digital Marketing Morsel,"One-click Lindsey brings a great tip to the table each morning.  Short, sweet and to the point.  Subscribe!"
Mastermind - AI Assistant for Software Dev Teams,Great!!!
Indicators,
